pais,iso3,subregion
Argentina,ARG,Cono Sur
Bolivia,BOL,Región Andina
Brasil,BRA,Cono Sur
Chile,CHL,Cono Sur
Colombia,COL,Región Andina
Costa Rica,CRI,Centroamérica y México
Cuba,CUB,Caribe
Ecuador,ECU,Región Andina
El Salvador,SLV,Centroamérica y México
Guatemala,GTM,Centroamérica y México
Haití,HTI,Caribe
Honduras,HND,Centroamérica y México
Jamaica,JAM,Caribe
México,MEX,Centroamérica y México
Nicaragua,NIC,Centroamérica y México
Panamá,PAN,Centroamérica y México
Paraguay,PRY,Cono Sur
Perú,PER,Región Andina
República Dominicana,DOM,Caribe
Trinidad y Tobago,TTO,Caribe
Uruguay,URY,Cono Sur
Venezuela,VEN,Región Andina
