pais,iso3,subregion,anio,Asalariadas,Bancas parlamentarias femeninas,Desempleo femenino,Empleadoras,Empleo femenino en agricultura,Empleo femenino en servicios,Empleo vulnerable femenino,Firmas con gerenta mujer,Firmas con propiedad femenina,Mujeres en puestos directivos,PBI per cápita,Participación laboral femenina,Participación laboral masculina,Ratio participación mujer/varón
Argentina,ARG,Cono Sur,1990,70.2,6.3,,2.8,0.2,81.6,27.0,,,,4318.77,41.0,77.7,52.77
Argentina,ARG,Cono Sur,1991,71.4,,6.4,2.0,0.1,80.2,26.6,,,,5715.5,40.5,77.3,52.39
Argentina,ARG,Cono Sur,1992,72.5,,6.5,2.4,0.3,80.7,25.1,,,,6798.03,40.1,76.8,52.21
Argentina,ARG,Cono Sur,1993,71.3,,13.3,3.2,0.3,83.1,25.5,,,,6940.35,40.3,76.4,52.75
Argentina,ARG,Cono Sur,1994,72.1,,14.6,2.4,0.2,85.2,25.4,,,,7449.48,40.4,76.1,53.09
Argentina,ARG,Cono Sur,1995,74.9,,22.3,2.3,0.4,84.4,22.7,,,,7373.43,41.2,76.1,54.14
Argentina,ARG,Cono Sur,1996,74.3,,20.2,2.4,0.2,87.3,23.2,,,,7683.57,41.4,75.6,54.76
Argentina,ARG,Cono Sur,1997,75.0,27.6,18.2,2.4,0.2,88.0,22.5,,,,8172.67,41.6,75.3,55.25
Argentina,ARG,Cono Sur,1998,75.5,27.6,15.0,2.4,0.2,89.1,22.0,,,24.61,8248.76,41.9,74.9,55.94
Argentina,ARG,Cono Sur,1999,75.9,,15.7,2.5,0.2,88.8,21.6,,,26.75,7736.37,42.2,74.6,56.57
Argentina,ARG,Cono Sur,2000,76.4,26.5,17.1,2.9,0.2,89.2,20.6,,,27.4,7669.27,42.5,74.3,57.2
Argentina,ARG,Cono Sur,2001,76.1,,17.5,2.4,0.3,89.0,21.4,,,27.17,7170.69,43.2,73.9,58.46
Argentina,ARG,Cono Sur,2002,78.1,30.7,18.8,1.9,0.5,89.7,20.0,,,25.77,2579.19,43.9,73.6,59.65
Argentina,ARG,Cono Sur,2003,78.6,30.7,18.8,2.2,1.0,87.1,19.1,,,28.95,3330.43,44.6,73.2,60.93
Argentina,ARG,Cono Sur,2004,78.6,33.7,14.6,2.4,0.9,87.2,19.0,,,35.61,4251.57,48.8,76.4,63.87
Argentina,ARG,Cono Sur,2005,79.0,36.2,12.6,2.4,0.6,88.1,18.6,,,32.86,5096.26,48.7,76.5,63.66
Argentina,ARG,Cono Sur,2006,80.2,35.0,12.6,2.5,0.5,88.5,17.3,,30.3,23.12,5904.68,48.6,76.6,63.45
Argentina,ARG,Cono Sur,2007,80.9,40.0,11.0,2.6,0.4,88.7,16.6,,,,7226.27,48.7,75.9,64.16
Argentina,ARG,Cono Sur,2008,80.7,40.0,9.8,2.9,0.4,88.8,16.4,,,,8992.59,48.7,75.3,64.67
Argentina,ARG,Cono Sur,2009,80.1,38.5,9.9,3.0,0.4,89.7,16.9,,,,8198.57,48.8,74.6,65.42
Argentina,ARG,Cono Sur,2010,80.6,38.5,9.2,2.9,0.5,90.0,16.5,9.2,38.0,,10332.03,47.0,74.9,62.75
Argentina,ARG,Cono Sur,2011,81.3,37.4,8.6,2.6,0.7,88.0,16.1,,,,12800.2,47.2,74.9,63.02
Argentina,ARG,Cono Sur,2012,81.2,37.4,8.9,2.7,0.3,89.6,16.1,,,,13040.31,47.3,75.0,63.07
Argentina,ARG,Cono Sur,2013,81.1,,8.6,2.6,0.2,89.9,16.3,,,,13027.2,47.5,75.0,63.33
Argentina,ARG,Cono Sur,2014,,36.6,9.8,,0.2,90.7,,,,,12324.94,47.6,75.1,63.38
Bolivia,BOL,Región Andina,1990,48.4,9.2,,1.5,0.2,88.0,50.1,,,,709.95,50.4,82.7,60.94
Bolivia,BOL,Región Andina,1991,46.8,,3.8,1.8,1.0,84.0,51.3,,,,764.14,51.3,82.6,62.11
Bolivia,BOL,Región Andina,1992,45.5,,6.4,2.6,1.3,82.5,51.9,,,,791.38,52.3,82.5,63.39
Bolivia,BOL,Región Andina,1993,47.3,,6.1,2.9,0.7,84.1,49.9,,,25.66,788.4,53.2,82.4,64.56
Bolivia,BOL,Región Andina,1994,43.8,,6.1,3.5,0.7,83.5,52.6,,,22.03,806.22,54.1,82.3,65.74
Bolivia,BOL,Región Andina,1995,42.0,,6.0,3.3,1.1,82.7,54.6,,,28.29,887.47,55.1,82.2,67.03
Bolivia,BOL,Región Andina,1996,39.9,,6.6,3.8,4.0,80.2,56.3,,,24.34,958.47,57.4,82.3,69.74
Bolivia,BOL,Región Andina,1997,39.1,,5.4,2.8,4.0,79.2,57.9,,,25.35,1006.96,59.7,82.3,72.54
Bolivia,BOL,Región Andina,1998,,,4.4,,,,,,,,1058.72,59.7,82.2,72.63
Bolivia,BOL,Región Andina,1999,19.0,11.5,5.3,1.4,37.2,50.9,75.6,,,28.2,1012.51,59.7,82.0,72.8
Bolivia,BOL,Región Andina,2000,20.0,11.5,5.9,1.0,35.3,54.5,73.2,,,38.59,1007.0,59.7,81.7,73.07
Bolivia,BOL,Región Andina,2001,19.5,11.5,6.4,1.4,39.8,50.5,72.5,,,17.57,958.24,60.0,81.7,73.44
Bolivia,BOL,Región Andina,2002,20.2,18.5,6.8,2.0,36.2,52.5,72.6,,,19.57,913.58,60.3,81.7,73.81
Bolivia,BOL,Región Andina,2003,26.4,18.5,6.8,1.9,34.7,54.3,71.6,,,,917.36,60.5,81.6,74.14
Bolivia,BOL,Región Andina,2004,26.4,19.2,5.4,1.9,34.7,54.2,71.6,,,30.69,978.33,60.8,81.6,74.51
Bolivia,BOL,Región Andina,2005,26.6,16.9,6.4,2.9,39.1,50.0,70.6,,,31.96,1046.43,61.1,81.5,74.97
Bolivia,BOL,Región Andina,2006,28.9,16.9,6.3,2.1,39.5,50.5,69.0,,41.1,27.68,1233.59,61.5,81.4,75.55
Bolivia,BOL,Región Andina,2007,22.7,16.9,6.3,3.2,38.3,52.5,66.8,,,28.96,1389.63,62.3,81.2,76.72
Bolivia,BOL,Región Andina,2008,30.6,16.9,3.8,2.9,34.7,54.8,66.5,,,,1736.92,62.6,81.1,77.19
Bolivia,BOL,Región Andina,2009,32.9,22.3,4.3,2.7,,,64.4,,,35.06,1776.86,63.2,81.0,78.02
Bolivia,BOL,Región Andina,2010,,25.4,4.1,,,,,21.7,41.3,,1981.16,63.7,80.9,78.74
Bolivia,BOL,Región Andina,2011,32.9,25.4,3.4,3.0,,,64.1,,,,2377.7,63.9,80.9,78.99
Bolivia,BOL,Región Andina,2012,,25.4,3.4,,,,,,,,2645.29,64.1,80.9,79.23
Bolivia,BOL,Región Andina,2013,,25.4,3.2,,,,,,,,2948.03,64.2,80.9,79.36
Bolivia,BOL,Región Andina,2014,,53.1,3.3,,,,,,,,3124.08,64.4,80.9,79.6
Brasil,BRA,Cono Sur,1990,68.0,5.3,,2.1,13.3,73.8,29.9,,,,3071.63,44.6,85.4,52.22
Brasil,BRA,Cono Sur,1991,,,9.6,,,,,,,,3942.4,48.8,85.7,56.94
Brasil,BRA,Cono Sur,1992,60.0,,8.0,1.6,24.7,65.2,38.3,,,,2578.21,53.1,86.0,61.74
Brasil,BRA,Cono Sur,1993,60.4,,7.3,1.6,24.1,65.4,38.0,,,,2774.17,53.0,85.6,61.92
Brasil,BRA,Cono Sur,1994,,,7.3,,,,,,,,3482.53,53.6,85.2,62.91
Brasil,BRA,Cono Sur,1995,60.2,,7.3,2.0,22.5,68.2,37.8,,,,4827.15,54.2,84.8,63.92
Brasil,BRA,Cono Sur,1996,63.3,,8.7,2.1,19.7,70.7,34.6,,,,5144.64,52.2,82.9,62.97
Brasil,BRA,Cono Sur,1997,,6.6,9.9,,20.2,70.3,,,,,5260.46,53.2,83.2,63.94
Brasil,BRA,Cono Sur,1998,,6.6,11.5,,19.3,71.0,,,,,5065.34,53.6,82.8,64.73
Brasil,BRA,Cono Sur,1999,,5.7,12.1,,20.4,70.1,,,,,3461.61,55.1,82.7,66.63
Brasil,BRA,Cono Sur,2000,73.5,5.7,12.0,2.0,10.6,76.1,22.0,,,31.22,3728.51,54.9,82.1,66.87
